year,family,life_expectancy,freedom,government_corruption,generosity,dystopia_residual,gdp_per_capita,happiness_rank,happiness_score,country_id
2017,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126,0.147616013884544,2.065751537680626,1.53062355518341,37,6.3439998626709,35
2017,1.3802285194397,0.519983291625977,0.518630743026733,0.0089648161083459,0.325296461582184,2.05354048870503,1.36135590076447,38,6.16800022125244,41
2017,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107,1.6404561698436826,1.63295245170593,39,6.10500001907349,39
2017,1.50505924224854,0.712732911109924,0.295817464590073,0.0242108516395092,0.136544480919838,2.098241541534656,1.32539355754852,40,6.09800004959106,45
2017,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572,1.6558865606784785,1.48841226100922,41,6.08699989318848,49
2017,1.28464603424072,0.618784427642822,0.402264982461929,0.0656007081270218,0.416608929634094,2.0048796087503433,1.29121541976929,42,6.08400011062622,61
2017,1.28721570968628,0.653095960617065,0.447551846504211,0.130687981843948,0.301674216985703,2.513475179672242,0.737299203872681,43,6.07100009918213,57
2017,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994,2.289929151535034,1.00082039833069,44,6.00799989700317,48
2017,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,2.714380167424688,0.909784495830536,45,6.00299978256226,42
2017,1.44571197032928,0.699475347995758,0.520342111587524,0.0593078061938286,0.158465966582298,1.7979089841246605,1.29178786277771,46,5.97300004959106,60
2017,1.54896914958954,0.498272627592087,0.658248662948608,0.246528223156929,0.415983647108078,1.8165567964315406,0.786441087722778,47,5.97100019454956,44
2017,1.44492328166962,0.853144347667694,0.256450712680817,0.0280280914157629,0.17278964817524,1.8135975245386353,1.39506661891937,48,5.96400022506714,50
2017,1.46928238868713,0.547349333763123,0.373783111572266,0.0329628810286522,0.0522638224065304,2.2055801860988185,1.28177809715271,49,5.96299982070923,64
2017,1.08141779899597,0.450191766023636,0.547509372234344,0.0965810716152191,0.240015640854836,2.6323088854551373,0.907975316047668,50,5.95599985122681,160
2017,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,1.363312147557739,1.41691517829895,51,5.92000007629395,46
2017,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352,2.2286894712597207,1.31458234786987,52,5.90199995040894,56
2017,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2.567465074360358,1.09186446666718,53,5.87200021743774,68
2017,1.40471494197845,0.638566970825195,0.325707912445068,0.0738427266478539,0.153074786067009,1.9933439418673546,1.26074862480164,54,5.84999990463257,89
2017,1.12827444076538,0.900214076042175,0.257921665906906,0.0632826685905457,0.206674367189407,1.879954159259797,1.40167844295502,55,5.83799982070923,47
2017,1.25182557106018,0.589465200901031,0.240729048848152,0.0100912861526012,0.208779126405716,2.808238957077268,0.728870630264282,56,5.83799982070923,52
2017,1.15009129047394,0.685158312320709,0.457003742456436,0.00438790069893,0.133519917726517,2.177154734265058,1.21768391132355,57,5.82499980926514,86
2017,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,0.22556072473526,2.443222709000106,0.833756566047668,58,5.82299995422363,51
2017,1.49314916133881,0.437726080417633,0.41827192902565,0.259270340204239,0.24992498755455,1.8328807651996577,1.13077676296234,59,5.82200002670288,70
2017,1.38436901569366,0.606041550636292,0.437454283237457,0.119282886385918,0.201964423060417,1.7853313386440366,1.28455626964569,60,5.81899976730347,54
2017,1.18630337715149,0.834647238254547,0.471203625202179,0.155353352427483,0.266845703125,1.5487353354692415,1.3469113111496,61,5.80999994277954,66
2017,1.45251882076263,0.790828227996826,0.572575807571411,0.0451289787888527,0.242649093270302,1.3130930140614483,1.3412059545517,62,5.75799989700317,55
2017,1.21877038478851,0.630166113376617,0.450002878904343,0.0470490865409374,0.126819714903831,2.206966701895001,1.03522527217865,63,5.71500015258789,58
2017,1.20956099033356,0.638007462024689,0.491247326135635,0.0421815551817417,0.360933750867844,1.6976735554635494,1.18939554691315,64,5.62900018692017,71
2017,1.13136327266693,0.84471470117569,0.355111539363861,0.0412379764020443,0.271254301071167,1.621379945427178,1.35593807697296,65,5.62099981307983,67
2017,1.47667109966278,0.695168316364288,0.479131430387497,0.183248922228813,0.0988908112049103,1.3570101410150617,1.32087934017181,66,5.61100006103516,73
2017,1.44494521617889,0.637714266777039,0.295400261878967,0.156313821673393,0.15513750910759,1.7229311317205518,1.15655755996704,67,5.56899976730347,59
2017,1.35756433010101,0.520169019699097,0.465733230113983,0.0926102101802826,0.152073666453362,1.835046574473385,1.10180306434631,68,5.52500009536743,63
2017,1.33775317668915,0.637605607509613,0.300740599632263,0.0996715798974037,0.0466930419206619,1.879261620342728,1.19827437400818,69,5.5,76
2017,1.50728487968445,0.579250693321228,0.473507791757584,0.091065913438797,0.224150657653809,1.6852027773857108,0.932537317276001,70,5.49300003051758,53
2017,1.26279091835022,0.943062424659729,0.490968644618988,0.293933749198914,0.374465793371201,0.555103749036788,1.55167484283447,71,5.47200012207031,166
2017,1.25391757488251,0.468009054660797,0.585214674472809,0.0993318930268288,0.193513423204422,1.9723139926791138,0.85769921541214,72,5.42999982833862,90
2017,1.25818979740143,0.65078467130661,0.208715528249741,0.0409037806093693,0.220125883817673,1.9469627402722764,1.06931757926941,73,5.39499998092651,87
2017,1.23908889293671,0.604590058326721,0.418421149253845,0.11980327218771,0.172170460224152,1.7909137383103286,0.991012394428253,74,5.33599996566772,82
2017,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,1.7161892838776067,1.2860119342804,75,5.32399988174438,104
2017,1.36821806430817,0.641022384166718,0.474307239055634,0.0552677810192108,0.233818337321281,1.6127867549657755,0.925579309463501,76,5.31099987030029,65
2017,0.96798300743103,0.701288521289825,0.255772292613983,0.0431031100451946,0.248002976179123,1.854294080287214,1.22255623340607,77,5.29300022125244,62
2017,1.13785350322723,0.541452050209045,0.260287940502167,0.0574716180562973,0.319931447505951,2.010518863797193,0.951484382152557,78,5.27899980545044,69
2017,1.16083741188049,0.741415500640869,0.472787708044052,0.0227942746132612,0.0288068410009146,1.7651922367513233,1.08116579055786,79,5.27299976348877,84
2017,0.672690689563751,0.402047783136368,0.23521526157856,0.124348066747189,0.315446019172668,2.7923687025904638,0.72688353061676,80,5.26900005340576,81
2017,1.27444469928741,0.492345720529556,0.443323463201523,0.0153171354904771,0.611704587936401,1.429325885139411,0.995538592338562,81,5.26200008392334,74
